facility_id,facility_name,state,dashboard_measure_group,favorable_percent,survey_weight,included_rows,excluded_rows
100007,ADVENTHEALTH ORLANDO,FL,Recommendation,74.00,11713,1,0
100007,ADVENTHEALTH ORLANDO,FL,Overall Rating,74.00,11713,1,0
100007,ADVENTHEALTH ORLANDO,FL,Medicine Communication,60.67,35139,3,0
100363,ADVENTHEALTH PALM COAST PARKWAY,FL,Discharge Information,88.00,3657,3,0
100363,ADVENTHEALTH PALM COAST PARKWAY,FL,Nurse Communication,79.75,4876,4,0
100363,ADVENTHEALTH PALM COAST PARKWAY,FL,Doctor Communication,74.50,4876,4,0
100363,ADVENTHEALTH PALM COAST PARKWAY,FL,Recommendation,75.00,1219,1,0
100363,ADVENTHEALTH PALM COAST PARKWAY,FL,Overall Rating,78.00,1219,1,0
100363,ADVENTHEALTH PALM COAST PARKWAY,FL,Medicine Communication,61.00,3657,3,0
100364,ADVENTHEALTH RIVERVIEW,FL,Discharge Information,,0,0,3
100364,ADVENTHEALTH RIVERVIEW,FL,Nurse Communication,,0,0,4
100364,ADVENTHEALTH RIVERVIEW,FL,Doctor Communication,,0,0,4
100364,ADVENTHEALTH RIVERVIEW,FL,Recommendation,,0,0,1
100364,ADVENTHEALTH RIVERVIEW,FL,Overall Rating,,0,0,1
100364,ADVENTHEALTH RIVERVIEW,FL,Medicine Communication,,0,0,3
100109,ADVENTHEALTH SEBRING,FL,Discharge Information,85.00,5070,3,0
100109,ADVENTHEALTH SEBRING,FL,Nurse Communication,74.25,6760,4,0
100109,ADVENTHEALTH SEBRING,FL,Doctor Communication,71.75,6760,4,0
100109,ADVENTHEALTH SEBRING,FL,Recommendation,65.00,1690,1,0
100109,ADVENTHEALTH SEBRING,FL,Overall Rating,65.00,1690,1,0
100109,ADVENTHEALTH SEBRING,FL,Medicine Communication,53.67,5070,3,0
100173,ADVENTHEALTH TAMPA,FL,Discharge Information,84.67,8265,3,0
100173,ADVENTHEALTH TAMPA,FL,Nurse Communication,75.75,11020,4,0
100173,ADVENTHEALTH TAMPA,FL,Doctor Communication,75.00,11020,4,0
100173,ADVENTHEALTH TAMPA,FL,Recommendation,66.00,2755,1,0
100173,ADVENTHEALTH TAMPA,FL,Overall Rating,66.00,2755,1,0
100173,ADVENTHEALTH TAMPA,FL,Medicine Communication,56.00,8265,3,0
100057,ADVENTHEALTH WATERMAN,FL,Discharge Information,88.33,8313,3,0
100057,ADVENTHEALTH WATERMAN,FL,Nurse Communication,79.00,11084,4,0
100057,ADVENTHEALTH WATERMAN,FL,Doctor Communication,74.00,11084,4,0
100057,ADVENTHEALTH WATERMAN,FL,Recommendation,73.00,2771,1,0
100057,ADVENTHEALTH WATERMAN,FL,Overall Rating,73.00,2771,1,0
100057,ADVENTHEALTH WATERMAN,FL,Medicine Communication,62.00,8313,3,0
101300,ADVENTHEALTH WAUCHULA,FL,Discharge Information,,0,0,3
101300,ADVENTHEALTH WAUCHULA,FL,Nurse Communication,,0,0,4
101300,ADVENTHEALTH WAUCHULA,FL,Doctor Communication,,0,0,4
101300,ADVENTHEALTH WAUCHULA,FL,Recommendation,,0,0,1
101300,ADVENTHEALTH WAUCHULA,FL,Overall Rating,,0,0,1
101300,ADVENTHEALTH WAUCHULA,FL,Medicine Communication,,0,0,3
100319,ADVENTHEALTH WESLEY CHAPEL,FL,Discharge Information,88.67,5505,3,0
100319,ADVENTHEALTH WESLEY CHAPEL,FL,Nurse Communication,81.75,7340,4,0
100319,ADVENTHEALTH WESLEY CHAPEL,FL,Doctor Communication,76.00,7340,4,0
100319,ADVENTHEALTH WESLEY CHAPEL,FL,Recommendation,78.00,1835,1,0
100319,ADVENTHEALTH WESLEY CHAPEL,FL,Overall Rating,78.00,1835,1,0
100319,ADVENTHEALTH WESLEY CHAPEL,FL,Medicine Communication,64.00,5505,3,0
100026,ASCENSION SACRED HEART BAY,FL,Discharge Information,85.67,1074,3,0
100026,ASCENSION SACRED HEART BAY,FL,Nurse Communication,76.75,1432,4,0
100026,ASCENSION SACRED HEART BAY,FL,Doctor Communication,76.25,1432,4,0
100026,ASCENSION SACRED HEART BAY,FL,Recommendation,72.00,358,1,0
100026,ASCENSION SACRED HEART BAY,FL,Overall Rating,68.00,358,1,0
100026,ASCENSION SACRED HEART BAY,FL,Medicine Communication,56.33,1074,3,0
100313,ASCENSION SACRED HEART GULF,FL,Discharge Information,87.00,171,3,0
100313,ASCENSION SACRED HEART GULF,FL,Nurse Communication,90.25,228,4,0
100313,ASCENSION SACRED HEART GULF,FL,Doctor Communication,91.75,228,4,0
100313,ASCENSION SACRED HEART GULF,FL,Recommendation,98.00,57,1,0
100313,ASCENSION SACRED HEART GULF,FL,Overall Rating,90.00,57,1,0
100313,ASCENSION SACRED HEART GULF,FL,Medicine Communication,77.00,171,3,0
100321,ASCENSION ST VINCENT'S CLAY COUNTY,FL,Discharge Information,85.00,966,3,0
100321,ASCENSION ST VINCENT'S CLAY COUNTY,FL,Nurse Communication,77.00,1288,4,0
100321,ASCENSION ST VINCENT'S CLAY COUNTY,FL,Doctor Communication,74.00,1288,4,0
100321,ASCENSION ST VINCENT'S CLAY COUNTY,FL,Recommendation,72.00,322,1,0
100321,ASCENSION ST VINCENT'S CLAY COUNTY,FL,Overall Rating,70.00,322,1,0
100321,ASCENSION ST VINCENT'S CLAY COUNTY,FL,Medicine Communication,50.33,966,3,0
100040,ASCENSION ST VINCENT'S RIVERSIDE,FL,Discharge Information,85.00,798,3,0
