facility_id,facility_name,category,weighted_favorable_percent,response_count,response_rate_context,florida_category_average,difference_from_florida_average
100062,ADVENTHEALTH OCALA,Doctor Communication,72.00,9968,19.00,74.82,-2.82
100062,ADVENTHEALTH OCALA,Recommendation,68.00,2492,19.00,70.01,-2.01
100062,ADVENTHEALTH OCALA,Overall Rating,68.00,2492,19.00,69.07,-1.07
100062,ADVENTHEALTH OCALA,Medicine Communication,58.67,7476,19.00,58.01,0.66
100007,ADVENTHEALTH ORLANDO,Discharge Information,88.00,35139,14.00,84.27,3.73
100007,ADVENTHEALTH ORLANDO,Nurse Communication,78.50,46852,14.00,76.39,2.11
100007,ADVENTHEALTH ORLANDO,Doctor Communication,75.25,46852,14.00,74.82,0.43
100007,ADVENTHEALTH ORLANDO,Recommendation,74.00,11713,14.00,70.01,3.99
100007,ADVENTHEALTH ORLANDO,Overall Rating,74.00,11713,14.00,69.07,4.93
100007,ADVENTHEALTH ORLANDO,Medicine Communication,60.67,35139,14.00,58.01,2.66
100363,ADVENTHEALTH PALM COAST PARKWAY,Discharge Information,88.00,3657,26.00,84.27,3.73
100363,ADVENTHEALTH PALM COAST PARKWAY,Nurse Communication,79.75,4876,26.00,76.39,3.36
100363,ADVENTHEALTH PALM COAST PARKWAY,Doctor Communication,74.50,4876,26.00,74.82,-0.32
100363,ADVENTHEALTH PALM COAST PARKWAY,Recommendation,75.00,1219,26.00,70.01,4.99
100363,ADVENTHEALTH PALM COAST PARKWAY,Overall Rating,78.00,1219,26.00,69.07,8.93
100363,ADVENTHEALTH PALM COAST PARKWAY,Medicine Communication,61.00,3657,26.00,58.01,2.99
100364,ADVENTHEALTH RIVERVIEW,Discharge Information,,0,,84.27,
100364,ADVENTHEALTH RIVERVIEW,Nurse Communication,,0,,76.39,
100364,ADVENTHEALTH RIVERVIEW,Doctor Communication,,0,,74.82,
100364,ADVENTHEALTH RIVERVIEW,Recommendation,,0,,70.01,
100364,ADVENTHEALTH RIVERVIEW,Overall Rating,,0,,69.07,
100364,ADVENTHEALTH RIVERVIEW,Medicine Communication,,0,,58.01,
100109,ADVENTHEALTH SEBRING,Discharge Information,85.00,5070,20.00,84.27,0.73
100109,ADVENTHEALTH SEBRING,Nurse Communication,74.25,6760,20.00,76.39,-2.14
